id,p_ship
51e9beaca.jpg,0.053763893
0a4d97295.jpg,0.41252103
c175e03b9.jpg,0.0073874807
8a56c9bdd.jpg,0.9994225
f52f4a484.jpg,0.0004802788
59cda0b1f.jpg,0.00043543967
59058a89d.jpg,0.0006267623
c0761cc48.jpg,0.95299226
ef6d3af4c.jpg,0.16079159
3576abbc5.jpg,0.001431387
30170c012.jpg,0.0012724544
faaf86255.jpg,0.00023273632
082c5049d.jpg,0.00046484516
da002eb00.jpg,0.9987
c6ad36ff0.jpg,0.009267695
7eedd921a.jpg,0.0015515111
4cb2e758e.jpg,0.0003144499
f879b2e5e.jpg,0.12754974
eb686ae57.jpg,0.060781784
f72c9b4ed.jpg,0.0025800744
e1a547a79.jpg,0.9987091
405e8cb41.jpg,0.000314722
9ed1d2515.jpg,0.09411839
c2ee51c02.jpg,0.9941957
36e996359.jpg,0.0006040761
6cda3efc5.jpg,0.002792358
317cdf378.jpg,0.9738789
2cb5d47a2.jpg,0.9922246
9763a5a22.jpg,0.0003472477
4b47b6f86.jpg,0.017966976
bc866f391.jpg,1.581602e-05
c1a110beb.jpg,0.004257894
2e5c4b881.jpg,0.044956934
cb7832f9e.jpg,0.0025272195
e9899c603.jpg,0.14316045
22d2cc326.jpg,0.0023545057
83dbefebe.jpg,0.001057378
cee117ce0.jpg,0.0026375274
3414bae38.jpg,0.8176693
f2bc28b4d.jpg,0.0005933653
7d1bbc7ff.jpg,0.0005053239
18173ed05.jpg,0.00024354251
016e4e530.jpg,0.0001857021
99e6e28f3.jpg,0.9951042
a888bb168.jpg,0.0030652233
9a2d509eb.jpg,0.9978042
9be753b69.jpg,0.0050965496
bc2e16355.jpg,0.031510126
1e40229e8.jpg,0.99796885
e547f013a.jpg,0.08046552
75fabe730.jpg,0.49945432
805078464.jpg,0.00069345004
c7844739a.jpg,0.8051259
c97164369.jpg,0.00022294391
32b18cb82.jpg,0.5281594
d077f1e7b.jpg,0.0007898352
a70442601.jpg,0.011613773
ce733287e.jpg,0.04328359
ab5ce03f5.jpg,0.004431117
a3869382b.jpg,0.0029259403
027da9f51.jpg,0.0003358626
790c6ec1b.jpg,0.9970763
1d93357db.jpg,0.0008562728
d4059d012.jpg,0.014925925
016053b1c.jpg,0.00026274275
bf58a12d2.jpg,0.00029173584
d9f3d7be3.jpg,0.7133255
f179be0e7.jpg,0.1155211
b91831357.jpg,0.00025542564
824c5a7c2.jpg,0.32295376
93f0f8cf7.jpg,0.015228821
4405e5ab1.jpg,0.32638472
c691b601e.jpg,0.77114624
ddc6ecd4a.jpg,0.0016860376
aeb0bf458.jpg,0.00029342787
f049a6ce1.jpg,0.0002259851
c130c0961.jpg,0.00033240096
0621f7012.jpg,0.000103136845
7fa7f6054.jpg,0.835025
361076249.jpg,0.00024132644
a72cabff5.jpg,0.00013905168
5fca4cf9c.jpg,0.0025387444
43ff30907.jpg,0.9784606
05762ef89.jpg,0.0006345756
ad002d64e.jpg,4.246977e-05
c51e69464.jpg,0.00041811835
0e3537358.jpg,0.00034543502
8bb60a003.jpg,0.9953028
